Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Wolves,0,3,1,-2,0,0,Loss,S Attwell,2.9,3.5,2.55,2.85,3.4,2.45
Leicester,0,3,0,-3,0,0,Loss,M Oliver,2.75,3.6,2.6,2.7,3.6,2.5
Brighton,1,1,1,0,0,0,Draw,A Taylor,1.4,5.0,9.0,1.36,4.75,9.25
Burnley,0,1,3,2,1,0,Win,M Dean,3.25,3.8,2.2,3.1,3.75,2.15
Newcastle,0,0,1,1,1,0,Win,M Atkinson,4.5,3.75,1.72,4.5,3.75,1.78
Burnley,1,2,1,1,2,0,Win,M Dean,1.3,5.5,10.0,1.3,5.5,10.0
Liverpool,0,3,1,-2,0,0,Loss,A Taylor,1.5,4.6,6.0,1.48,4.75,6.0
Tottenham,1,2,2,0,0,0,Draw,M Atkinson,2.37,3.6,2.8,2.4,3.6,2.8
Watford,0,2,2,0,0,0,Draw,A Taylor,3.6,3.6,2.0,3.8,3.8,1.91
Aston Villa,1,3,2,1,1,0,Win,J Moss,1.4,4.75,8.0,1.4,5.0,7.25
Man United,0,1,1,0,0,0,Draw,K Friend,2.37,3.5,2.9,2.35,3.4,3.0
Bournemouth,1,1,0,1,1,0,Win,M Atkinson,1.44,4.75,7.0,1.42,5.0,6.75
Sheffield United,0,1,0,-1,0,0,Loss,M Dean,3.9,3.75,1.9,3.8,3.75,1.91
Crystal Palace,1,2,2,0,0,0,Draw,M Atkinson,1.45,4.75,6.5,1.45,4.75,6.5
Wolves,1,1,1,0,0,0,Draw,M Oliver,1.75,3.75,4.75,1.78,3.7,4.6
Leicester,0,2,0,-2,0,0,Loss,C Kavanagh,2.0,3.75,3.5,2.0,3.8,3.5
Southampton,1,2,2,0,0,0,Draw,S Attwell,1.45,4.75,6.5,1.45,4.75,6.5
Norwich,0,2,2,0,0,0,Draw,P Tierney,4.0,4.33,1.75,4.1,4.25,1.75
Brighton,1,1,2,-1,0,0,Loss,G Scott,1.57,4.33,5.5,1.57,4.25,5.5
West Ham,0,1,3,2,1,0,Win,M Dean,3.3,4.0,2.0,3.6,4.0,1.91
Man City,1,0,3,-3,0,0,Loss,P Tierney,6.0,5.25,1.44,6.25,5.5,1.42
Everton,0,0,0,0,0,0,Draw,K Friend,2.3,3.8,2.87,2.3,3.75,2.85
Bournemouth,0,1,1,0,0,0,Draw,S Attwell,3.5,3.9,1.95,3.5,3.9,1.95
Chelsea,1,1,2,-1,0,0,Loss,C Pawson,2.87,3.75,2.3,2.85,3.75,2.3
Man United,1,2,0,2,1,0,Win,C Kavanagh,2.55,3.6,2.62,2.6,3.6,2.6
Crystal Palace,0,1,1,0,0,0,Draw,P Tierney,4.1,3.9,1.8,4.0,3.8,1.85
Sheffield United,1,1,1,0,0,0,Draw,M Dean,1.83,3.6,4.33,1.8,3.7,4.5
Chelsea,0,2,2,0,0,0,Draw,S Attwell,1.72,3.9,4.5,1.75,3.9,4.75
Burnley,0,0,0,0,0,0,Draw,C Kavanagh,3.6,3.6,2.0,3.8,3.4,2.05
Newcastle,1,4,0,4,1,0,Win,L Mason,1.4,4.75,8.0,1.4,4.75,8.0
Everton,1,3,2,1,2,0,Win,S Attwell,2.0,3.6,3.7,2.0,3.6,3.7
West Ham,1,1,0,1,3,1,Win,M Atkinson,1.57,4.4,5.5,1.53,4.33,6.0
Man City,0,3,0,-3,0,0,Loss,A Taylor,1.36,5.25,7.5,1.34,5.25,8.25
Brighton,0,2,1,-1,0,0,Loss,M Atkinson,3.1,3.25,2.37,3.4,3.4,2.15
Southampton,0,0,2,2,1,0,Win,G Scott,2.6,3.5,2.62,2.65,3.4,2.65
Norwich,1,4,0,4,2,0,Win,P Bankes,1.44,4.75,7.0,1.45,4.75,6.5
Wolves,0,0,2,2,3,1,Win,M Oliver,2.25,3.4,3.25,2.25,3.25,3.4
Leicester,1,1,1,0,0,0,Draw,C Kavanagh,2.3,3.5,3.0,2.3,3.4,3.1
Tottenham,0,2,1,-1,0,0,Loss,M Oliver,2.62,3.4,2.7,2.65,3.4,2.65
Liverpool,1,2,1,1,1,0,Win,P Tierney,3.8,3.8,1.9,3.8,4.0,1.85
Aston Villa,0,1,0,-1,0,0,Loss,C Kavanagh,3.3,3.6,2.1,3.25,3.9,2.05
Watford,1,3,2,1,1,0,Win,M Dean,1.9,3.8,3.8,1.91,3.75,3.8
Liverpool,1,3,4,-1,0,0,Loss,M Oliver,2.4,3.5,3.1,2.35,3.3,2.9
Leicester,0,0,0,0,0,0,Draw,M Clattenburg,2.88,3.6,2.5,2.75,3.6,2.45
Watford,0,1,3,2,1,0,Win,K Friend,5.0,3.75,1.73,5.0,3.75,1.72
Southampton,1,2,1,1,2,0,Win,R Madley,1.57,4.2,6.5,1.55,4.2,6.0
Hull,0,1,4,3,3,1,Win,R East,6.0,4.2,1.6,6.0,4.0,1.57
Chelsea,1,3,0,3,4,1,Win,M Oliver,2.4,3.5,3.1,2.4,3.4,3.1
Burnley,0,0,1,1,5,1,Win,C Pawson,9.0,5.0,1.4,8.5,5.0,1.36
Swansea,1,3,2,1,6,1,Win,J Moss,1.29,6.5,11.0,1.26,6.25,10.0
Middlesbrough,1,0,0,0,0,0,Draw,M Dean,1.25,6.5,15.0,1.25,6.0,12.0
Sunderland,0,1,4,3,1,0,Win,M Atkinson,9.0,5.0,1.4,8.0,5.25,1.4
Tottenham,1,1,1,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.95,3.6,3.9
Man United,0,1,1,0,0,0,Draw,A Marriner,2.6,3.4,2.9,2.5,3.4,2.8
Bournemouth,1,3,1,2,1,0,Win,M Jones,1.4,5.0,9.0,1.42,4.75,7.5
West Ham,0,1,5,4,2,0,Win,C Pawson,4.75,4.2,1.75,4.75,4.0,1.75
Stoke,1,3,1,2,3,1,Win,L Mason,1.35,5.5,9.5,1.35,5.0,9.0
Everton,0,2,1,-1,0,0,Loss,M Clattenburg,4.2,3.75,1.91,4.25,3.7,1.9
Man City,0,2,1,-1,0,0,Loss,M Atkinson,2.15,3.6,3.5,2.15,3.6,3.5
West Brom,1,1,0,1,1,0,Win,N Swarbrick,1.33,5.5,8.5,1.3,5.0,10.0
Crystal Palace,1,2,0,2,2,0,Win,A Marriner,1.29,5.5,9.5,1.3,5.5,9.75
Bournemouth,0,3,3,0,0,0,Draw,M Oliver,4.33,3.4,1.85,4.4,3.7,1.8
Swansea,0,0,4,4,1,0,Win,M Jones,7.0,4.75,1.5,6.25,4.6,1.48
Burnley,1,2,1,1,2,0,Win,J Moss,1.2,7.5,17.0,1.18,7.5,14.5
Watford,1,1,2,-1,0,0,Loss,A Marriner,1.22,7.0,15.0,1.22,6.5,13.0
Chelsea,0,3,1,-2,0,0,Loss,M Atkinson,1.95,3.6,4.2,1.95,3.5,4.0
Hull,1,2,0,2,1,0,Win,M Clattenburg,1.29,6.0,13.0,1.26,5.75,11.5
Liverpool,0,3,1,-2,0,0,Loss,R Madley,2.15,3.6,3.6,2.05,3.5,3.6
West Brom,0,3,1,-2,0,0,Loss,N Swarbrick,5.25,4.0,1.73,4.75,3.9,1.72
Man City,1,2,2,0,0,0,Draw,A Marriner,3.1,3.75,2.3,3.25,3.5,2.2
West Ham,1,3,0,3,1,0,Win,M Atkinson,1.4,5.25,8.0,1.36,5.25,8.0
Crystal Palace,0,3,0,-3,0,0,Loss,M Oliver,4.5,3.9,1.83,4.6,3.8,1.75
